EB Cry ( 0 events) was calibrated to avg: -15, 16, hash: 25215	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -15, 17, hash: 25216	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -15, 18, hash: 25217	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -15, 19, hash: 25218	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -15, 20, hash: 25219	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -14, 16, hash: 25575	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -14, 17, hash: 25576	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -14, 18, hash: 25577	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -14, 19, hash: 25578	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -14, 20, hash: 25579	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -14, 263, hash: 25822	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -13, 16, hash: 25935	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -13, 17, hash: 25936	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -13, 18, hash: 25937	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -13, 19, hash: 25938	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -13, 20, hash: 25939	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -13, 60, hash: 25979	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -12, 16, hash: 26295	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -12, 17, hash: 26296	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -12, 18, hash: 26297	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -12, 19, hash: 26298	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -12, 20, hash: 26299	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 16, hash: 26655	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 17, hash: 26656	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 18, hash: 26657	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 19, hash: 26658	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 20, hash: 26659	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 193, hash: 26832	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -11, 267, hash: 26906	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 39, hash: 27038	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 51, hash: 27050	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 52, hash: 27051	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 53, hash: 27052	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 54, hash: 27053	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 55, hash: 27054	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 221, hash: 27220	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 222, hash: 27221	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 223, hash: 27222	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -10, 224, hash: 27223	 Calib: -1	 Error: -1
